no,sentence,sentiment,source,location,Confidence,Positive Score,Negative Score,Reason / Notes,Aspect(s),Risk Type(s),Traveller Suitability,Hotel Improvement Insight
279,"Very aesthetic, i have booking with them for few times already, none of it disappointing me, just that the lift very slow due to high density",neutral,Agoda,"Jalan Bukit Bintang, Agile Bukit Bintang, Bukit Bintang, Kuala Lumpur, Malaysia, 55100",medium,0,0,Mixed/acceptable wording,Facilities; Accessibility,Facility/Maintenance Risk; Service Risk,General traveller suitability,Improve room facilities and maintenance; Improve front desk/staff service training
280,"Parking, u need to pay. 22 per day. Check in counter close early.",neutral,Agoda,"Centrestage Petaling Jaya by Perfect Host, P-G-05 No, 1, Jalan 13/1, Seksyen 13,46200 Petaling Jaya, Selangor., Petaling Jaya, Kuala Lumpur, Malaysia, 46200",medium,0,0,Mixed/acceptable wording,Location; Service; Parking,Parking Risk; Service Risk,General traveller suitability,Improve parking information or parking availability; Improve front desk/staff service training
281,No facilities,neutral,Agoda,"Persiaran Lagoon, Bandar Sunway, Kuala Lumpur, Malaysia, 47500",medium,0,0,Mixed/acceptable wording,General,No major risk detected,General traveller suitability,No major improvement issue detected
282,Good location with direct access to mall. Room is ok but the toilet does need some upgrading as it is old and dirty in some rooms. Not convenient to get to the gym and breakfast area. It is not located within the same building and you have to walk quite abit. Does not make sense for a 4 star hotel so this hotel alone does not have any facilities,neutral,Agoda,"Persiaran Lagoon, Bandar Sunway, Kuala Lumpur, Malaysia, 47500",medium,9.55,8.1,"Mixed/acceptable wording; positive: good location, good; negative: dirty, old",Location; Cleanliness; Breakfast/Food,Cleanliness Risk,Suitable for convenience-focused travellers; Not ideal for cleanliness-sensitive guests,"Improve room, linen and towel cleanliness"
283,Ekbal is nice boy,neutral,agoda,Swing & Pillows - Sungei Wang Bukit Bintang,high,0.44,0.4,"Mostly factual, mixed, or weak emotional wording; main topic(s): General Experience.",General Experience,Low Risk / Informational,Suitable for travellers who need basic accommodation and will check details before booking.,Monitor this feedback and clarify hotel information where needed.
284,"The free parking system here is a complete mess. While getting in is fine, trying to exit is a nightmare. Security wrongly accused us of misusing the parking, and we were forced to pay a $100 deposit just to leave. We were told the deposit would only be refunded a week later after their ""investigation."" To make matters worse, the same issue happened again the very next day. Nothing had been resolved. This process is unprofessional and extremely inconvenient. It feels like guests are being punished for a system error that clearly hasn't been addressed.",neutral,Agoda,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",medium,1,0,Mixed/acceptable wording; positive: fine,Service; Parking,Parking Risk; Service Risk,General traveller suitability,Improve parking information or parking availability; Improve front desk/staff service training
285,"Careful with this hotel. Hotel own by individual owner not managed by hotel operator. Require deposit during check in. During check out, their staff will check the room, any damage or missing item will be charge full deposit. During check in there are 2 towels provided but during check out the management tey to impose me and inform their place 4 towels in the room. Lucky i have a phote taken during check in to prove that the towel only have 2. Careful all.....better find another hotel....",neutral,Agoda,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",medium,0,0,Mixed/acceptable wording,Cleanliness; Service,Cleanliness Risk; Service Risk,Not ideal for cleanliness-sensitive guests,"Improve room, linen and towel cleanliness; Improve front desk/staff service training"
286,Old unit at the price of normal hotel rate where room only provided tv with youtube which most of the time can't connected to internet wifi. The room having musky smell.,neutral,Agoda,"Centrestage Petaling Jaya by Perfect Host, P-G-05 No, 1, Jalan 13/1, Seksyen 13,46200 Petaling Jaya, Selangor., Petaling Jaya, Kuala Lumpur, Malaysia, 46200",medium,0.2,2,Mixed/acceptable wording; positive: normal; negative: old,Cleanliness; Facilities,Cleanliness Risk; Facility/Maintenance Risk,Not ideal for cleanliness-sensitive guests,"Improve room, linen and towel cleanliness; Improve room facilities and maintenance"
287,Joy was friendly .,neutral,agoda,Swing & Pillows - Sungei Wang Bukit Bintang,high,0.44,0.4,"Mostly factual, mixed, or weak emotional wording; main topic(s): Staff / Service.",Staff / Service,Low Risk / Informational,Suitable for travellers who need basic accommodation and will check details before booking.,Monitor this feedback and clarify hotel information where needed.
288,Semua ok 👍🏻 kecuali aircon dalam bilik suhu 20 degree tapi rasa macam 25-26 degree sahaja… Iron rosak 2x saya minta tukar… the 3rd one baru ok 😅 yang lain ok 👍🏻 suggestion buat PPM berkala untuk peralatan elektrik dalam bilik… 4/5 ⭐️ That’s all and TQ 😊,neutral,Agoda,"Persiaran Lagoon, Bandar Sunway, Kuala Lumpur, Malaysia, 47500",medium,1.5,0,Mixed/acceptable wording; positive: ok,Facilities,Facility/Maintenance Risk,General traveller suitability,Improve room facilities and maintenance
289,Not expecting much. Okay je,neutral,agoda,Swing & Pillows - Sungei Wang Bukit Bintang,high,0.42,0.42,"Mostly factual, mixed, or weak emotional wording; main topic(s): General Experience.",General Experience,Low Risk / Informational,Suitable for travellers who need basic accommodation and will check details before booking.,Monitor this feedback and clarify hotel information where needed.
290,Tanjina nice 1,neutral,agoda,Swing & Pillows - Sungei Wang Bukit Bintang,high,0.44,0.4,"Mostly factual, mixed, or weak emotional wording; main topic(s): General Experience.",General Experience,Low Risk / Informational,Suitable for travellers who need basic accommodation and will check details before booking.,Monitor this feedback and clarify hotel information where needed.
291,"Great location, but small room. Reception needs better service; more smiles and happiness. Bellboy was helpful. Parking not free; unacceptable. Hotel facilities and breakfast location far to walk.",neutral,Agoda,"Persiaran Lagoon, Bandar Sunway, Kuala Lumpur, Malaysia, 47500",medium,6.7,8.1,"Mixed/acceptable wording; positive: great location, helpful; negative: needs better, small room",Location; Service; Comfort/Noise; Parking; Breakfast/Food,Parking Risk; Service Risk,Suitable for convenience-focused travellers,Improve parking information or parking availability; Improve front desk/staff service training
292,Items in my luggage has been rummaged and only left with only a few items. Plus my shoes have been stolen too.,neutral,Agoda,"Centrestage Petaling Jaya by Perfect Host, P-G-05 No, 1, Jalan 13/1, Seksyen 13,46200 Petaling Jaya, Selangor., Petaling Jaya, Kuala Lumpur, Malaysia, 46200",medium,0,0,Mixed/acceptable wording,Accessibility,Accessibility Risk,Not suitable for travellers with heavy luggage,Improve lift/accessibility information
293,"An ideal hotel to stay if you have plans to visit the theme park. If you want to head to Berjaya Square or the central part of KL, a Grab ride will get you there in less than 30mins.",neutral,Agoda,"Persiaran Lagoon, Bandar Sunway, Kuala Lumpur, Malaysia, 47500",medium,0,0,Mixed/acceptable wording,General,No major risk detected,General traveller suitability,No major improvement issue detected
294,I hope can improve the TV channel antenna.,neutral,Agoda,"Jalan Thambipillay, Kuala Lumpur Sentral, Kuala Lumpur, Malaysia, 50470",medium,0,0,Mixed/acceptable wording,Facilities,Facility/Maintenance Risk,General traveller suitability,Improve room facilities and maintenance
295,"Overall ok, but the cleanliness not fulfill my preference. “Ada kesan kotor dekat comforter”",neutral,Agoda,"Jalan Bukit Bintang, Agile Bukit Bintang, Bukit Bintang, Kuala Lumpur, Malaysia, 55100",medium,0.5,0,Mixed/acceptable wording; positive: ok,Cleanliness,Cleanliness Risk,Not ideal for cleanliness-sensitive guests,"Improve room, linen and towel cleanliness"
296,"overall ok only one issue that not expeting there is the staircase hard to bring heavy bags up down to reception counter and lift. enjoy the stay easy parking , center of town",neutral,agoda,Swing & Pillows - Sungei Wang Bukit Bintang,high,0.44,0.41,"Mostly factual, mixed, or weak emotional wording; main topic(s): Staff / Service, Facilities.","Staff / Service, Facilities",Low Risk / Informational,Suitable for travellers who need basic accommodation and will check details before booking.,Monitor this feedback and clarify hotel information where needed.
297,"เยื้องสถานีBukit Bingtang ลองค้นหาชื่อ รร ผ่านgoogleนะคะ ทำเลดีงามที่สุด ใก้ล,Jalan alor food st., Q Pocket,KKV,Sungei wang, Lot10 ,Farenhiet88,Pavilliom นั่งไป1สถานีหรือเดิน10นาทีห้างThe exchange TRX,ข้างซ้ายเดินไปนิดเจอPlaza Low Yatหลังห้างนี้ จะมีห้างTimes square ข้อเสีย ไม่มีตู้เย็น,โต๊ะข้างเตียง,ห้องแคบกางกระเป๋าเดินทางไม่ได้,มีมด,เตียงนอนสั้นเรานอนเท้าเกิน เราสูง165เอง ห้องน้ำเหม็นอับ ชื้น",neutral,agoda,Swing & Pillows - Sungei Wang Bukit Bintang,high,0.42,0.42,"Mostly factual, mixed, or weak emotional wording; main topic(s): Location.",Location,Low Risk / Informational,Suitable for travellers who need basic accommodation and will check details before booking.,Monitor this feedback and clarify hotel information where needed.
298,The room OK but the aircond not cool. Sweating in the night cause if the aitrcond,neutral,Agoda,"Jalan Thambipillay, Kuala Lumpur Sentral, Kuala Lumpur, Malaysia, 50470",medium,0.5,0,Mixed/acceptable wording; positive: ok,General,Facility/Maintenance Risk,General traveller suitability,Improve room facilities and maintenance
299,"Strategies location easy to access for local transportation, monorail, lrt, kliaekspres, shopping complex, many nearby halal eateries",neutral,Agoda,"Jalan Thambipillay, Kuala Lumpur Sentral, Kuala Lumpur, Malaysia, 50470",medium,0,0,Mixed/acceptable wording,Location,No major risk detected,Suitable for convenience-focused travellers,No major improvement issue detected
300,"Can improve toilet , very big smell",neutral,Agoda,"Jalan Bukit Bintang, Agile Bukit Bintang, Bukit Bintang, Kuala Lumpur, Malaysia, 55100",medium,0,0,Mixed/acceptable wording,Cleanliness,Cleanliness Risk,Not ideal for cleanliness-sensitive guests,"Improve room, linen and towel cleanliness"
